Name,NutriRating,Purpose,Subtype,Description,Vegan,Vegetarian
ceci beans,1,Vegetable,legume,,TRUE,TRUE
green beans,1,Vegetable,legume,,TRUE,TRUE
kidney beans,1,Vegetable,legume,,TRUE,TRUE
lentils,1,Vegetable,legume,,TRUE,TRUE
lima beans,1,Vegetable,legume,,TRUE,TRUE
butter beans,1,Vegetable,legume,,TRUE,TRUE
mung beans,1,Vegetable,legume,,TRUE,TRUE
navy beans,1,Vegetable,legume,,TRUE,TRUE
pinto beans,1,Vegetable,legume,,TRUE,TRUE
runner beans,1,Vegetable,legume,,TRUE,TRUE
split peas,1,Vegetable,legume,,TRUE,TRUE
soy beans,1,Vegetable,legume,,TRUE,TRUE
peas,1,Vegetable,legume,,TRUE,TRUE
mangetout,1,Vegetable,legume,,TRUE,TRUE
snap peas,1,Vegetable,legume,,TRUE,TRUE
broccoflower,1,Vegetable,Cruciferous Greens,,TRUE,TRUE
broccoli,1,Vegetable,Cruciferous Greens,,TRUE,TRUE
brussels sprouts,1,Vegetable,Cruciferous Greens,,TRUE,TRUE
Cabbage,1,Vegetable,Cabbage,,TRUE,TRUE
kohlrabi,1,Vegetable,Cabbage,,TRUE,TRUE
Savoy Cabbage,1,Vegetable,Cabbage,,TRUE,TRUE
Red Cabbage,1,Vegetable,Cabbage,,TRUE,TRUE
Pointed Cabbage,1,Vegetable,Cabbage,,TRUE,TRUE
Sweetheart Cabbage,1,Vegetable,Cabbage,,TRUE,TRUE
cauliflower,1,Vegetable,Cruciferous Greens,,TRUE,TRUE
celery,1,Vegetable,Cruciferous Greens,,TRUE,TRUE
endive,1,Vegetable,,,TRUE,TRUE
fiddleheads,1,Vegetable,,,TRUE,TRUE
frisee,1,Vegetable,,,TRUE,TRUE
fennel,1,Vegetable,,,TRUE,TRUE
beet greens,1,Vegetable,Leafy Greens,,TRUE,TRUE
bok choy,1,Vegetable,Leafy Greens,,TRUE,TRUE
chard,1,Vegetable,Leafy Greens,,TRUE,TRUE
collard greens,1,Vegetable,Leafy Greens,,TRUE,TRUE
kale,1,Vegetable,Leafy Greens,,TRUE,TRUE
mustard greens,1,Vegetable,Leafy Greens,,TRUE,TRUE
spinach,1,Vegetable,Leafy Greens,,TRUE,TRUE
anise,1,Vegetable,herbs and spices,,TRUE,TRUE
basil,1,Vegetable,herbs and spices,,TRUE,TRUE
caraway,1,Vegetable,herbs and spices,,TRUE,TRUE
coriander,1,Vegetable,herbs and spices,,TRUE,TRUE
cilantro,1,Vegetable,herbs and spices,,TRUE,TRUE
chamomile,1,Vegetable,herbs and spices,,TRUE,TRUE
dill,1,Vegetable,herbs and spices,,TRUE,TRUE
fennel,1,Vegetable,herbs and spices,,TRUE,TRUE
lavender,1,Vegetable,herbs and spices,,TRUE,TRUE
lemon Grass,1,Vegetable,herbs and spices,,TRUE,TRUE
marjoram,1,Vegetable,herbs and spices,,TRUE,TRUE
oregano,1,Vegetable,herbs and spices,,TRUE,TRUE
parsley,1,Vegetable,herbs and spices,,TRUE,TRUE
rosemary,1,Vegetable,herbs and spices,,TRUE,TRUE
sage,1,Vegetable,herbs and spices,,TRUE,TRUE
thyme,1,Vegetable,herbs and spices,,TRUE,TRUE
lettuce,1,Vegetable,lettuce,,TRUE,TRUE
